alert_id,station_name,river_name,district,state_name,sampling_date,month,alert_types,severity,predicted_compliance_label,predicted_non_compliance_probability,risk_score,risk_category,violation_reasons,label_confidence,explanation,recommended_action
1c21260a,"Asna River, Dist- Nanded",Asna,Nanded,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,3.35,Low Risk,BOD (4.8 > 3); pH (9.0 not in 6.5-8.5),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
c09d637c,"Purna River, Yeldari dam, Dist- Parbhani",Purna,Parbhani,Maharashtra,08-03-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
4cf4ac8d,"Sea Water at Ganapathipule, Village. Ganapatipule, Taluka. Ratnagiri,  District. Ratnagiri.",Sea,Ratnagiri,Maharashtra,08-04-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,7.66,Low Risk,BOD (12.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
beeed129,"Sea water at Bhagwati Bunder, Ratnagiri near Ultra Tech Cement Jetty , Village. Mirkarwada, Taluka. Ratnagiri, District. Ratnagiri.",Sea,Ratnagiri,Maharashtra,08-04-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,9.36,Low Risk,BOD (14.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
7a3f9e70,"Madvi sea water at Ratnagiri near Jodhale Maruti Temple,  Village. Madvigaon, Taluka. Ratnagiri, District. Ratnagiri.",Madvi,Ratnagiri,Maharashtra,08-04-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,8.51,Low Risk,BOD (13.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
34e158ec,"Sea water at Gateway of India, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,Mumbai,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
cbd7062e,"Sea water at Charni road choupathy, Village. Girgaon, Taluka. Mumbai, District. Mumbai.",Sea,Mumbai,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
5f272213,"Sea water at Worli seaface, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,Mumbai,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,10.86,Low Risk,DO (4.6 < 5); BOD (12.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
a8c700b1,"Mahim creek at Mahim Bay, Village. Mahim, Taluka. Mumbai, District. Mumbai.",Mahim,Mumbai,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,12.56,Low Risk,DO (4.6 < 5); BOD (14.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
ee81667b,"Sea water at Shivaji park ( Dadar choupathy), Village. Dadar, Taluka.Dadar,  District. Mumbai.",Sea,Mumbai,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,4.26,Low Risk,BOD (8.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
b3551e61,"Sea water at Haji Ali, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,Mumbai,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
f241eb45,"Sea water at Malabar Hill, Village. Walkeshwar,Taluka. Mumbai,District. Mumbai.",Sea,Mumbai,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,17.46,Low Risk,DO (4.2 < 5); BOD (16.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
271c2577,"Thane creek at Elephanta Island, Village. Elephanta Island , Taluka. Mumbai, District. Mumbai.",Thane,Mumbai,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,12.46,Low Risk,DO (4.4 < 5); BOD (12.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
6e7d7b47,"Sea water at Nariman Point, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,Mumbai,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
fa8ffcb8,"Mithi river near Road bridge, Village. Mahim, Taluka. Bandra, District. Mumbai.",Mithi,Mumbai,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | High Risk Score | Persistent Hotspot,Severe,Non-Compliant,1.0,67.39,High Risk,DO (0.3 < 5); BOD (38.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, High Risk Score, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
ee2691e7,"Sea water at Versova beach, Village. Versova, Taluka. Andheri, District. Mumbai.",Sea,Mumbai,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,10.96,Low Risk,DO (4.8 < 5); BOD (14.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
e8ac6020,"Sea water at Juhu beach,  Village. Juhugaon, Taluka. Santacruz,  District. Mumbai.",Sea,Mumbai,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
9d197658,"Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane.",Rabodi,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | High Risk Score | Persistent Hotspot,Severe,Non-Compliant,1.0,72.49,High Risk,DO (0.3 < 5); BOD (44.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, High Risk Score, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
587a59e5,"Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane.",Colour Chem,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | High Risk Score | Persistent Hotspot,Severe,Non-Compliant,1.0,54.98,High Risk,DO (1.0 < 5); BOD (30.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, High Risk Score, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
7fe3b94f,"Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane.",Sandoz,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | High Risk Score | Persistent Hotspot,Severe,Non-Compliant,1.0,60.03,High Risk,DO (0.9 < 5); BOD (35.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, High Risk Score, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
6e417a7c,"Ulhas creek at Mumbra Reti bunder, Village. Mumbra,Taluka. Thane, District. Thane.",Ulhas,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,1.36,Low Risk,BOD (4.6 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
fa2a486c,"Thane creek at Kalwa road bridge, Village. Kalwa,Taluka. Thane,District. Thane.",Thane,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot | Increasing Risk,Severe,Non-Compliant,1.0,4.6,Low Risk,BOD (8.4 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot, Increasing Risk",Escalate for immediate field inspection and source tracking.
44b529ce,"Ulhas creek at Kolshet Reti bunder, Village. Kolshet, Taluka. Thane, District. Thane.",Ulhas,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,1.19,Low Risk,BOD (4.4 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
1e5edf37,"Ulhas creek at Gaimukh at Nagla Bunder on Ghod bunder road, Village. Nagla,Taluka. Thane,District. Thane.",Ulhas,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,3.74,Low Risk,BOD (7.4 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
99954e7a,"Bassein creek at VasaiFort , Village. Bassein, Taluka. Vasai, District. Thane.",Bassein,Thane,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
804c9357,"Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane.",Ulhas,Thane,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,4.26,Low Risk,BOD (8.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
f60b27a0,"Bhayander creek at D/s of Railway bridge at  Jasal park choupathy, Village. Navghar, Taluka. Bhayander, District. Thane.",Bhayander,Thane,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,12.56,Low Risk,DO (4.6 < 5); BOD (14.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
5c10a14f,"Arnala sea, Village. Arnala, Taluka. Vasai, District. Thane.",Arnala,Thane,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,9.26,Low Risk,DO (4.8 < 5); BOD (12.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
a86025e8,"Uttan sea at Bhayander, Village. Uttan, Taluka. Bhayander, District. Thane.",Uttan,Thane,Maharashtra,08-07-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
8dad0d77,"Kharekuran Murbe creek , Village. Kharekuran, Taluka. Palghar, District. Thane.",Kharekuran Murbe,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,21.57,Low Risk,DO (3.9 < 5); BOD (18.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
800b728f,"Dandi Creek, Village. Dandi, Taluka. Palghar, District. Thane.",Dandi,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,19.06,Low Risk,DO (4.0 < 5); BOD (16.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
7b900ff2,"Navapur sea, Village. Navapur, Taluka. Palghar, District. Thane.",Navapur,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
eb24f63e,"BPT, Navapur, Village. Navapur, Taluka. Palghar, District. Thane.",BPT/Navapur,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Severe Risk Score | Persistent Hotspot,Severe,Non-Compliant,1.0,77.6,Severe Risk,DO (0.3 < 5); BOD (54.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Severe Risk Score, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
d5e1d7e0,"Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Severe Risk Score | Persistent Hotspot,Severe,Non-Compliant,1.0,77.6,Severe Risk,DO (0.3 < 5); BOD (58.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Severe Risk Score, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
59355c32,"Tarapur MIDC Nalla ( Near Sump 2), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Severe Risk Score | Persistent Hotspot,Severe,Non-Compliant,1.0,77.6,Severe Risk,DO (0.3 < 5); BOD (110.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Severe Risk Score, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
ab779ed4,"Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Severe Risk Score | Persistent Hotspot,Severe,Non-Compliant,1.0,77.6,Severe Risk,DO (0.3 < 5); BOD (210.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Severe Risk Score, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
e2c27bf4,"Surya river at MIDC pumping station on Boisar . Chillarphata road, Village. Garvashet, Taluka. Palghar, District. Thane",Surya,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
05a25f32,"Savta Creek, Village. Savta, Taluka. Dahanu, District. Thane.",Savta,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,16.09,Low Risk,DO (4.0 < 5); BOD (12.5 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
06e71d3e,"Dahanu Creek at Dahanu Fort, Village. Danugaon, Taluka. Dahanu, District. Thane.",Dahanu,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,15.76,Low Risk,DO (4.2 < 5); BOD (14.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
2d823e71,"Kalu river at Atale village, Village. Atale, Taluka. Kalyan, District. Thane.",Kalu,Thane,Maharashtra,08-04-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.68,Low Risk,BOD (3.8 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
266535b1,"Ulhas creek at Reti bunder at D/s of Kalyan. Bhiwandi bridge, Village. Kalyan, Taluka. Kalyan, District. Thane.",Ulhas,Thane,Maharashtra,08-04-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,0.68,Low Risk,BOD (3.8 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
1abaa204,"Ulhas river at U/s of NRC Bund, Village. Mohane, Taluka. Kalyan, District. Thane.",Ulhas,Thane,Maharashtra,08-04-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
6155b69b,"Ulhas river at U/s of Badlapur water works, Village. Kulgaon, Taluka. Ambernath, District. Thane.",Ulhas,Thane,Maharashtra,08-04-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.34,Low Risk,BOD (3.4 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
d1636cca,"Bhatsa River at D/s of Liberty Oil Mills, Satnel, Shahapur, Thane.",Bhatsa,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
77684659,"Tansa river near road bridge, Village. Dakewali, Taluka. Wada, District. Thane.",Tansa,Thane,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
3443f79c,Vashi Creek at Vashi Bridge,Vashi,Thane,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,12.46,Low Risk,DO (4.4 < 5); BOD (12.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
dda74a01,Vashi Creek at Airoli Bridge,Vashi,Thane,Maharashtra,08-04-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,13.36,Low Risk,DO (4.5 < 5); BOD (14.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
53a6239a,Thane creek Flamingo Sanctuary,Thane,Thane,Maharashtra,08-04-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,12.46,Low Risk,DO (4.4 < 5); BOD (12.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
1850f424,"Patalganga river at Shilphata bridge, Village.Khopoli,Taluka. Khalapur, District. Raigad.",Patalganga,Raigad,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.68,Low Risk,BOD (3.8 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
19198e94,"Patalganga river near intake of MIDC water works  (Turade w/w). Village. Turade, Taluka. Khalapur, District. Raigad.",Patalganga,Raigad,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.34,Low Risk,BOD (3.4 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
20c63d82,"Patalganga river at D/s of Kharpada bridge , Village. Kharpada, Taluka. Khalapur, District. Raigad.",Patalganga,Raigad,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.85,Low Risk,BOD (4.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
7e3600ef,"Patalganga river at Vyal Pump house,  Village. Vyal,  Taluka. Khalapur, District. Raigad.",Patalganga,Raigad,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.85,Low Risk,BOD (4.0 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
c6b2b9cb,"Patalganga river at Savroli bridge, Village. Savroli,Taluka. Khalapur,District. Raigad.",Patalganga,Raigad,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
a779ddb2,"Patalganga river at Gagangiri Maharaj Temple, Village. Khopoli, Taluka. Khalapur, District. Raigad.",Patalganga,Raigad,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
2d1b23a2,"Panvel creek at Kopra bridge, Village. Kopra,Taluka. Panvel, District. Raigad.",Panvel,Raigad,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,0.34,Low Risk,BOD (3.4 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
eabf9694,"Kundalika river near Salav bridge (Saline zone), Village.Salav, Taluka. Roha, District. Raigad.",Kundalika,Raigad,Maharashtra,08-06-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,0.68,Low Risk,BOD (3.8 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
fd0b9e2a,"Pedhi river near road bridge at Dadhi. Pedhi village, Village. Dadhi. Pedhi, Taluka. Bhatkuli, District. Amravati.",Pedhi,Amravati,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,7.13,Low Risk,DO (4.3 < 5); BOD (4.8 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
