station_name,live_rule_explanation,live_model_explanation,live_missing_data_explanation,live_final_explanation
UT71_Beladandi Bridge on River Ramganga,"pH is 7.2, within the safe range 6.5–8.5. DO is 7.6 mg/L, meeting the >=5 mg/L requirement. BOD is 6.12 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT71_Beladandi Bridge on River Ramganga is classified Non-Compliant by rule and ML. BOD is 6.12 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"BH73_Bridge on Ghagra near Manjhi, Chappra","pH is 8.23, within the safe range 6.5–8.5. DO is 8.26 mg/L, meeting the >=5 mg/L requirement. BOD is 2.77 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station BH73_Bridge on Ghagra near Manjhi, Chappra is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"BH74_Road bridge on River Ganga, D/s of Buxar","pH is 8.51, outside the safe range 6.5-8.5. DO is 8.19 mg/L, meeting the >=5 mg/L requirement. BOD is 2.91 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station BH74_Road bridge on River Ganga, D/s of Buxar is classified Compliant by rule and ML. pH is 8.51 (out of 6.5-8.5). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"BH76_Road bridge at Fathua on Punpun, Patna","pH is 7.28, within the safe range 6.5–8.5. DO is 0.2 mg/L, violating the >=5 mg/L requirement. BOD is 11.95 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station BH76_Road bridge at Fathua on Punpun, Patna is classified Non-Compliant by rule and ML. DO is 0.2 (< 5 mg/L)  and  BOD is 11.95 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"BH77_New Bridge, U/s of Patna city, Khurji","pH is 8.73, outside the safe range 6.5-8.5. DO is 4.51 mg/L, violating the >=5 mg/L requirement. BOD is 2.61 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station BH77_New Bridge, U/s of Patna city, Khurji is classified Non-Compliant by rule and ML. DO is 4.51 (< 5 mg/L)  and  pH is 8.73 (out of 6.5-8.5). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"BH78_Road bridge on Burhi Gandak, Khagaria","pH is 7.26, within the safe range 6.5–8.5. DO is 9.41 mg/L, meeting the >=5 mg/L requirement. BOD is 4.22 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station BH78_Road bridge on Burhi Gandak, Khagaria is classified Non-Compliant by rule and ML. BOD is 4.22 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"BH79_Road bridge on Kosi, Kursela","pH is 7.8, within the safe range 6.5–8.5. DO is 7.92 mg/L, meeting the >=5 mg/L requirement. BOD is 2.74 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station BH79_Road bridge on Kosi, Kursela is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"BH80_Road bridge on Son, Arrah","pH is 8.19, within the safe range 6.5–8.5. DO is 6.56 mg/L, meeting the >=5 mg/L requirement. BOD is 2.39 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station BH80_Road bridge on Son, Arrah is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"BH81_Road Bridge on Gandak, Hajipur","pH is 8.09, within the safe range 6.5–8.5. DO is 7.73 mg/L, meeting the >=5 mg/L requirement. BOD is 1.27 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station BH81_Road Bridge on Gandak, Hajipur is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"JH82_Birsa Pool, Damodar River Bank,Pathardih","pH is 7.88, within the safe range 6.5–8.5. DO is 8.84 mg/L, meeting the >=5 mg/L requirement. BOD is 1.38 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station JH82_Birsa Pool, Damodar River Bank,Pathardih is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
JH83_Sahebganj,"pH is 8.19, within the safe range 6.5–8.5. DO is 7.73 mg/L, meeting the >=5 mg/L requirement. BOD is 2.6 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station JH83_Sahebganj is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
WB85_Raghunathpur Thermal power plant Intake well.,"pH is 8.78, outside the safe range 6.5-8.5. DO is 8.17 mg/L, meeting the >=5 mg/L requirement. BOD is 2.15 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station WB85_Raghunathpur Thermal power plant Intake well. is classified Compliant by rule and ML. pH is 8.78 (out of 6.5-8.5). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"WB86_Farakka Barrage, Road Bridge","pH is 8.27, within the safe range 6.5–8.5. DO is 7.31 mg/L, meeting the >=5 mg/L requirement. BOD is 1.79 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station WB86_Farakka Barrage, Road Bridge is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
WB87_Nabadwip Bathing Ghat,"pH is 8.22, within the safe range 6.5–8.5. DO is 7.34 mg/L, meeting the >=5 mg/L requirement. BOD is 2.35 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station WB87_Nabadwip Bathing Ghat is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"WB88_Chinsura , Near Hooghly, Road Bridge","pH is 8.37, within the safe range 6.5–8.5. DO is 7.74 mg/L, meeting the >=5 mg/L requirement. BOD is 2.34 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station WB88_Chinsura , Near Hooghly, Road Bridge is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT62_River Kosi, D/s of Kashipur, Darhiyal","pH is 7.82, within the safe range 6.5–8.5. DO is 6.44 mg/L, meeting the >=5 mg/L requirement. BOD is 0.5 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT62_River Kosi, D/s of Kashipur, Darhiyal is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"BH72_River Ganga at Chausa, U/s of Buxar ","pH is 8.44, within the safe range 6.5–8.5. DO is 9.77 mg/L, meeting the >=5 mg/L requirement. BOD is 2.47 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station BH72_River Ganga at Chausa, U/s of Buxar  is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
JH84_Rajmahal at Malgodam,"pH is 8.26, within the safe range 6.5–8.5. DO is 7.54 mg/L, meeting the >=5 mg/L requirement. BOD is 2.24 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station JH84_Rajmahal at Malgodam is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UK52_D/s of Srinagar, Kirtinagar","pH is 8.21, within the safe range 6.5–8.5. DO is 9.65 mg/L, meeting the >=5 mg/L requirement. BOD is 0.5 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UK52_D/s of Srinagar, Kirtinagar is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"BH75_D/s of Bhagalpur, Road Bridge on River Ganga","pH is 7.88, within the safe range 6.5–8.5. DO is 8.07 mg/L, meeting the >=5 mg/L requirement. BOD is 2.16 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station BH75_D/s of Bhagalpur, Road Bridge on River Ganga is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
