station_name,river_name,state,district,month,dissolved_oxygen,bod,ph,violation_reasons,risk_score,risk_category,label_confidence,risk_confidence,rule_based_explanation
"Panchaganga river at Shirol near Shirol Intake well, Village. Shirol, Taluka. Shirol, District. Kolhapur.",Panchaganga,,Kolhapur,Aug,6.9,3.0,7.7,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",Panchaganga,,Kolhapur,Aug,6.8,2.8,7.8,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Bhogawati River water sample at Haldi KT Weir, Tal. Karveer, Dist. Kolhapur ",Bhogawati,,Kolhapur,Aug,6.4,3.0,7.7,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Panchaganga River, Terwad bandhara, Dist- Kolhapur",Panchaganga,,Kolhapur,Aug,6.7,2.8,7.7,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Krishna river at Maighat, Village. Gawali gally, Taluka. Miraj,  District. Sangli.",Krishna,,Sangli,Aug,5.9,3.0,7.9,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",Krishna,,Sangli,Aug,6.7,2.8,7.9,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",Krishna,,Sangli,Aug,6.1,3.0,7.9,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Krishna River at krishna ghat, miraj Dist-Sangli",Krishna,,Sangli,Aug,6.2,3.0,7.9,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",Krishna,,Sangli,Aug,6.8,2.8,8.0,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",Vashishti,,Ratnagiri,Aug,6.8,2.6,7.3,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Vashishti river at D/s of Three M Paper Mills near Chiplun water intake  jackwell,  Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",Vashishti,,Ratnagiri,Aug,6.7,2.8,7.3,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",Vashishti,,Ratnagiri,Aug,6.0,3.0,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Karambavane creek at Chiplun, Village. Karambavane, Taluka. Chiplun, District. Ratnagiri.",Karambavane,,Ratnagiri,Aug,7.0,2.8,7.4,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Muchkundi river at Waked, Ratnagiri, near M/s Asahi India Glass Ltd., Village. Waked, Taluka. Lanja, District. Ratnagiri.",Muchkundi,,Ratnagiri,Aug,6.9,2.8,7.4,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Sea Water at Ganapathipule, Village. Ganapatipule, Taluka. Ratnagiri,  District. Ratnagiri.",Sea,,Ratnagiri,Aug,6.9,12.0,7.9,BOD (12.0 > 3),7.66,Low Risk,High,High,Non-compliant because BOD is 12.00 mg/L (above 3). Risk category: Low Risk.
"Sea water at Bhagwati Bunder, Ratnagiri near Ultra Tech Cement Jetty , Village. Mirkarwada, Taluka. Ratnagiri, District. Ratnagiri.",Sea,,Ratnagiri,Aug,7.0,14.0,7.9,BOD (14.0 > 3),9.36,Low Risk,High,High,Non-compliant because BOD is 14.00 mg/L (above 3). Risk category: Low Risk.
"Madvi sea water at Ratnagiri near Jodhale Maruti Temple,  Village. Madvigaon, Taluka. Ratnagiri, District. Ratnagiri.",Madvi,,Ratnagiri,Aug,6.8,13.0,7.9,BOD (13.0 > 3),8.51,Low Risk,High,High,Non-compliant because BOD is 13.00 mg/L (above 3). Risk category: Low Risk.
"Pimpal.Paneri nalla at Ratnagiri near Finolex Industries, Village. Yahganigaon, Taluka. Ratnagiri, District. Ratnagiri.",Pimpal.Paneri,,Ratnagiri,Aug,7.1,2.6,7.3,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Savitri river at Ovale village, Village. Ovale, Taluka. Mahad, District. Raigad.",Savitri,,Raigad,Aug,6.8,3.0,7.7,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Savitri river Jackwell at Upsa kendre , Village. Nangalwadi, Taluka. Mahad, District. Raigad.",Savitri,,Raigad,Aug,6.9,2.8,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Savitri river at Shedav Dov, Village. Shedav Dov, Taluka. Mahad, District. Raigad.",Savitri,,Raigad,Aug,6.8,3.0,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Savitri river at Dadli road bridge, Village. Dadli, Taluka. Mahad, District. Raigad.",Savitri,,Raigad,Aug,6.9,2.4,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Savitri river at Muthavali village,  Village. Muthavali, Taluka. Mahad, District. Raigad.",Savitri,,Raigad,Aug,6.7,2.8,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Ulhas river neral, Tal- Karjat, Dist- Raigad",Ulhas,,Raigad,Aug,7.2,3.0,7.4,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Kundalika river , kolad, Dist- Raigad",Kundalika,,Raigad,Aug,7.2,3.0,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Sea water at Gateway of India, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,,Mumbai,Aug,4.4,16.0,8.0,DO (4.4 < 5); BOD (16.0 > 3),15.86,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.
"Sea water at Charni road choupathy, Village. Girgaon, Taluka. Mumbai, District. Mumbai.",Sea,,Mumbai,Aug,4.4,14.0,7.9,DO (4.4 < 5); BOD (14.0 > 3),14.16,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.
"Sea water at Worli seaface, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,,Mumbai,Aug,4.6,12.0,7.8,DO (4.6 < 5); BOD (12.0 > 3),10.86,Low Risk,High,High,Non-compliant because DO is 4.60 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.
"Mahim creek at Mahim Bay, Village. Mahim, Taluka. Mumbai, District. Mumbai.",Mahim,,Mumbai,Aug,4.6,14.0,7.9,DO (4.6 < 5); BOD (14.0 > 3),12.56,Low Risk,High,High,Non-compliant because DO is 4.60 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.
"Sea water at Shivaji park ( Dadar choupathy), Village. Dadar, Taluka.Dadar,  District. Mumbai.",Sea,,Mumbai,Aug,5.0,8.0,7.7,BOD (8.0 > 3),4.26,Low Risk,High,High,Non-compliant because BOD is 8.00 mg/L (above 3). Risk category: Low Risk.
"Sea water at Haji Ali, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,,Mumbai,Aug,4.4,14.0,7.8,DO (4.4 < 5); BOD (14.0 > 3),14.16,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.
"Sea water at Malabar Hill, Village. Walkeshwar,Taluka. Mumbai,District. Mumbai.",Sea,,Mumbai,Aug,4.2,16.0,7.9,DO (4.2 < 5); BOD (16.0 > 3),17.46,Low Risk,High,High,Non-compliant because DO is 4.20 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.
"Thane creek at Elephanta Island, Village. Elephanta Island , Taluka. Mumbai, District. Mumbai.",Thane,,Mumbai,Aug,4.4,12.0,7.9,DO (4.4 < 5); BOD (12.0 > 3),12.46,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.
"Sea water at Nariman Point, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,,Mumbai,Aug,4.4,14.0,7.8,DO (4.4 < 5); BOD (14.0 > 3),14.16,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.
"Mithi river near Road bridge, Village. Mahim, Taluka. Bandra, District. Mumbai.",Mithi,,Mumbai,Aug,0.3,38.0,7.4,DO (0.3 < 5); BOD (38.0 > 3),67.39,High Risk,High,High,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 38.00 mg/L (above 3). Risk category: High Risk.
"Sea water at Versova beach, Village. Versova, Taluka. Andheri, District. Mumbai.",Sea,,Mumbai,Aug,4.8,14.0,7.8,DO (4.8 < 5); BOD (14.0 > 3),10.96,Low Risk,High,High,Non-compliant because DO is 4.80 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.
"Sea water at Juhu beach,  Village. Juhugaon, Taluka. Santacruz,  District. Mumbai.",Sea,,Mumbai,Aug,4.4,16.0,8.0,DO (4.4 < 5); BOD (16.0 > 3),15.86,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.
"Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane.",Rabodi,,Thane,Aug,0.3,44.0,7.2,DO (0.3 < 5); BOD (44.0 > 3),72.49,High Risk,High,High,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 44.00 mg/L (above 3). Risk category: High Risk.
"Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane.",Colour Chem,,Thane,Aug,1.0,30.0,7.4,DO (1.0 < 5); BOD (30.0 > 3),54.98,High Risk,High,High,Non-compliant because DO is 1.00 mg/L (below 5); BOD is 30.00 mg/L (above 3). Risk category: High Risk.
"Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane.",Sandoz,,Thane,Aug,0.9,35.0,7.3,DO (0.9 < 5); BOD (35.0 > 3),60.03,High Risk,High,High,Non-compliant because DO is 0.90 mg/L (below 5); BOD is 35.00 mg/L (above 3). Risk category: High Risk.
"Ulhas creek at Mumbra Reti bunder, Village. Mumbra,Taluka. Thane, District. Thane.",Ulhas,,Thane,Aug,6.4,4.6,7.2,BOD (4.6 > 3),1.36,Low Risk,High,High,Non-compliant because BOD is 4.60 mg/L (above 3). Risk category: Low Risk.
"Thane creek at Kalwa road bridge, Village. Kalwa,Taluka. Thane,District. Thane.",Thane,,Thane,Aug,5.0,8.4,7.3,BOD (8.4 > 3),4.6,Low Risk,High,High,Non-compliant because BOD is 8.40 mg/L (above 3). Risk category: Low Risk.
"Ulhas creek at Kolshet Reti bunder, Village. Kolshet, Taluka. Thane, District. Thane.",Ulhas,,Thane,Aug,6.4,4.4,7.3,BOD (4.4 > 3),1.19,Low Risk,High,High,Non-compliant because BOD is 4.40 mg/L (above 3). Risk category: Low Risk.
"Ulhas creek at Gaimukh at Nagla Bunder on Ghod bunder road, Village. Nagla,Taluka. Thane,District. Thane.",Ulhas,,Thane,Aug,5.2,7.4,7.2,BOD (7.4 > 3),3.74,Low Risk,High,High,Non-compliant because BOD is 7.40 mg/L (above 3). Risk category: Low Risk.
"Bassein creek at VasaiFort , Village. Bassein, Taluka. Vasai, District. Thane.",Bassein,,Thane,Aug,4.4,14.0,7.6,DO (4.4 < 5); BOD (14.0 > 3),14.16,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.
"Pehlar Dam on Pehlar river. inlet of water works, Village. Pehlar, Taluka. Vasai, District. Thane.",Pehlar,,Thane,Aug,7.0,2.0,7.5,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane.",Ulhas,,Thane,Aug,5.0,8.0,7.1,BOD (8.0 > 3),4.26,Low Risk,High,High,Non-compliant because BOD is 8.00 mg/L (above 3). Risk category: Low Risk.
"Bhayander creek at D/s of Railway bridge at  Jasal park choupathy, Village. Navghar, Taluka. Bhayander, District. Thane.",Bhayander,,Thane,Aug,4.6,14.0,7.5,DO (4.6 < 5); BOD (14.0 > 3),12.56,Low Risk,High,High,Non-compliant because DO is 4.60 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.
"Arnala sea, Village. Arnala, Taluka. Vasai, District. Thane.",Arnala,,Thane,Aug,4.8,12.0,7.8,DO (4.8 < 5); BOD (12.0 > 3),9.26,Low Risk,High,High,Non-compliant because DO is 4.80 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.
"Uttan sea at Bhayander, Village. Uttan, Taluka. Bhayander, District. Thane.",Uttan,,Thane,Aug,4.4,16.0,7.7,DO (4.4 < 5); BOD (16.0 > 3),15.86,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.
"Kharekuran Murbe creek , Village. Kharekuran, Taluka. Palghar, District. Thane.",Kharekuran Murbe,,Thane,Aug,3.9,18.0,7.9,DO (3.9 < 5); BOD (18.0 > 3),21.57,Low Risk,High,High,Non-compliant because DO is 3.90 mg/L (below 5); BOD is 18.00 mg/L (above 3). Risk category: Low Risk.
"Dandi Creek, Village. Dandi, Taluka. Palghar, District. Thane.",Dandi,,Thane,Aug,4.0,16.0,8.0,DO (4.0 < 5); BOD (16.0 > 3),19.06,Low Risk,High,High,Non-compliant because DO is 4.00 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.
"Sarwali Creek, Village. Sarwali, Taluka. Palghar, District. Thane.",Sarwali,,Thane,Aug,7.3,3.0,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Navapur sea, Village. Navapur, Taluka. Palghar, District. Thane.",Navapur,,Thane,Aug,4.4,16.0,7.8,DO (4.4 < 5); BOD (16.0 > 3),15.86,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.
"BPT, Navapur, Village. Navapur, Taluka. Palghar, District. Thane.",BPT/Navapur,,Thane,Aug,0.3,54.0,7.4,DO (0.3 < 5); BOD (54.0 > 3),77.6,Severe Risk,High,High,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 54.00 mg/L (above 3). Risk category: Severe Risk.
"Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,,Thane,Aug,0.3,58.0,7.3,DO (0.3 < 5); BOD (58.0 > 3),77.6,Severe Risk,High,High,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 58.00 mg/L (above 3). Risk category: Severe Risk.
"Tarapur MIDC Nalla ( Near Sump 2), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,,Thane,Aug,0.3,110.0,7.3,DO (0.3 < 5); BOD (110.0 > 3),77.6,Severe Risk,High,High,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 110.00 mg/L (above 3). Risk category: Severe Risk.
"Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,,Thane,Aug,0.3,210.0,6.9,DO (0.3 < 5); BOD (210.0 > 3),77.6,Severe Risk,High,High,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 210.00 mg/L (above 3). Risk category: Severe Risk.
"Surya River at U/S of Surya Dam, Village. Dhamni, Taluka. Vikramgad, District. Thane.",Surya,,Thane,Aug,7.4,2.8,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Surya river at MIDC pumping station on Boisar . Chillarphata road, Village. Garvashet, Taluka. Palghar, District. Thane",Surya,,Thane,Aug,7.2,3.2,7.5,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Surya river at intake of Vasai.Virar water Scheme, Village. Masvan, Taluka. Palghar, District. Thane.",Surya,,Thane,Aug,7.4,3.0,7.7,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Savta Creek, Village. Savta, Taluka. Dahanu, District. Thane.",Savta,,Thane,Aug,4.0,12.5,7.8,DO (4.0 < 5); BOD (12.5 > 3),16.09,Low Risk,High,High,Non-compliant because DO is 4.00 mg/L (below 5); BOD is 12.50 mg/L (above 3). Risk category: Low Risk.
"Dahanu Creek at Dahanu Fort, Village. Danugaon, Taluka. Dahanu, District. Thane.",Dahanu,,Thane,Aug,4.2,14.0,8.0,DO (4.2 < 5); BOD (14.0 > 3),15.76,Low Risk,High,High,Non-compliant because DO is 4.20 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.
"Kalu river at Atale village, Village. Atale, Taluka. Kalyan, District. Thane.",Kalu,,Thane,Aug,6.0,3.8,7.7,BOD (3.8 > 3),0.68,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.
"Ulhas creek at Reti bunder at D/s of Kalyan. Bhiwandi bridge, Village. Kalyan, Taluka. Kalyan, District. Thane.",Ulhas,,Thane,Aug,6.0,3.8,7.6,BOD (3.8 > 3),0.68,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.
"Ulhas river at U/s of NRC Bund, Village. Mohane, Taluka. Kalyan, District. Thane.",Ulhas,,Thane,Aug,7.0,3.2,7.6,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Ulhas river at Jambhul water works, Village. Jambhul, Taluka. Ambernath, District. Thane.",Ulhas,,Thane,Aug,7.4,3.0,7.7,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Ulhas river at U/s of Badlapur water works, Village. Kulgaon, Taluka. Ambernath, District. Thane.",Ulhas,,Thane,Aug,6.8,3.4,7.7,BOD (3.4 > 3),0.34,Low Risk,High,High,Non-compliant because BOD is 3.40 mg/L (above 3). Risk category: Low Risk.
"Bhatsa River at D/s of Liberty Oil Mills, Satnel, Shahapur, Thane.",Bhatsa,,Thane,Aug,7.0,3.2,8.0,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Bhatsa River at U/s of Liberty Oil Mills, Satnel, Shahapur, Thane.",Bhatsa,,Thane,Aug,7.4,2.8,7.9,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Tansa river near road bridge, Village. Dakewali, Taluka. Wada, District. Thane.",Tansa,,Thane,Aug,7.0,3.2,7.8,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Vaitarna river near road bridge, Village. Gandhare, Taluka. Wada, District. Thane.",Vaitarna,,Thane,Aug,6.9,3.0,7.9,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Bhatsa river at D/s of Pise Dam, Village. Pise, Taluka. Bhiwandi, District. Thane.",Bhatsa,,Thane,Aug,7.2,3.0,7.8,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
Vashi Creek at Vashi Bridge,Vashi,,Thane,Aug,4.4,12.0,7.5,DO (4.4 < 5); BOD (12.0 > 3),12.46,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.
Vashi Creek at Airoli Bridge,Vashi,,Thane,Aug,4.5,14.0,7.2,DO (4.5 < 5); BOD (14.0 > 3),13.36,Low Risk,High,High,Non-compliant because DO is 4.50 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.
Thane creek Flamingo Sanctuary,Thane,,Thane,Aug,4.4,12.0,7.3,DO (4.4 < 5); BOD (12.0 > 3),12.46,Low Risk,High,High,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.
"Patalganga river at Shilphata bridge, Village.Khopoli,Taluka. Khalapur, District. Raigad.",Patalganga,,Raigad,Aug,6.8,3.8,7.3,BOD (3.8 > 3),0.68,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.
"Patalganga river near intake of MIDC water works  (Turade w/w). Village. Turade, Taluka. Khalapur, District. Raigad.",Patalganga,,Raigad,Aug,7.0,3.4,7.6,BOD (3.4 > 3),0.34,Low Risk,High,High,Non-compliant because BOD is 3.40 mg/L (above 3). Risk category: Low Risk.
"Patalganga river at D/s of Kharpada bridge , Village. Kharpada, Taluka. Khalapur, District. Raigad.",Patalganga,,Raigad,Aug,6.6,4.0,7.7,BOD (4.0 > 3),0.85,Low Risk,High,High,Non-compliant because BOD is 4.00 mg/L (above 3). Risk category: Low Risk.
