station_name,river_name,water_body_type,predicted_label,predicted_non_compliance_probability,top_positive_shap_features,top_negative_shap_features,shap_explanation_text
"Purna river at Kolhapur Tal- Daryapur, Dist- Amravati",Purna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane.",Ulhas,Creek,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Dhom Dam, Village. Wai, Taluka.Mahabaleshwar, District.Satara.",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Karambavane creek at Chiplun, Village. Karambavane, Taluka. Chiplun, District. Ratnagiri.",Karambavane,Creek,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Patalganga river at Shilphata bridge, Village.Khopoli,Taluka. Khalapur, District. Raigad.",Patalganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ghod river at Shirur, Village. Shirur,Taluka. Shirur,District. Pune.",Ghod,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Purna River at Dhupeshwar at u/s of Malkapur water works, Malkapur, Dist.Akola",Purna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Kolar river before confluence with Kanhan river at Waregaon Bridge, Village. Waregaon, Taluka.Kamptee, District.Nagpur.",Kolar,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Kalu river at Atale village, Village. Atale, Taluka. Kalyan, District. Thane.",Kalu,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Surya river at MIDC pumping station on Boisar . Chillarphata road, Village. Garvashet, Taluka. Palghar, District. Thane",Surya,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Amba river at D/s of Waken bridge, Village. Waken phata, Taluka. Roha, District. Raigad. ( u/s of the jackwells of M/s Supreme Petrochemicals & MIDC )",Amba,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna River at krishna ghat, miraj Dist-Sangli",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Wardha river at D/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur.",Wardha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Wainganga river at U/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur.",Wainganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Kundalika river at Roha bridge,  Village.Roha, Taluka. Roha, District. Raigad.",Kundalika,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Ujani dam pumping station, Dist- Solapur ",Ujani,Dam,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Asna River, Dist- Nanded",Asna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Nira river at Sangavi, Village. Sangavi, Taluka. Phaltan, District. Satara.",Nira,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Wainganga river at U/s of Ellora Paper Mills, Village. Tumsar, Taluka. Tumsar, District. Bhandara.",Wainganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Patalganga river at Vyal Pump house,  Village. Vyal,  Taluka. Khalapur, District. Raigad.",Patalganga,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Sea Water at Ganapathipule, Village. Ganapatipule, Taluka. Ratnagiri,  District. Ratnagiri.",Sea,Sea,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ghod river at Shirur, Village. Shirur,Taluka. Shirur,District. Pune.",Ghod,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Tansa river near road bridge, Village. Dakewali, Taluka. Wada, District. Thane.",Tansa,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Pawana river at  Dapodi bridge, at Pawana. Mulla Sangam,  Village. Dapodi, Taluka. Haweli, District. Pune.",Pawana,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Mula - Mutha river at Mundhawa bridge,Village. Mundhawa,Taluka. Haweli,District. Pune.",River,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Kanhan river at D/s of M/s Vidarbha Paper Mills,  Village. Sinora, Taluka. Parseoni, District. Nagpur.",Kanhan,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane.",Colour Chem,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Pimpal.Paneri nalla at Ratnagiri near Finolex Industries, Village. Yahganigaon, Taluka. Ratnagiri, District. Ratnagiri.",Pimpal.Paneri,Nala,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Waghur river at. Sakegaon before Confluence with Tapi river, Village. Sakegaon,Taluka. Jalgaon,District. Jalgaon.",Waghur,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Venna river at Varye, Village . Varye,Taluka. Satara, District. Satara.",Venna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Surya river at intake of Vasai.Virar water Scheme, Village. Masvan, Taluka. Palghar, District. Thane.",Surya,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Bhima river at D/s of Bundgarden, Village . Yerwada,Taluka. Haweli, District. Pune.",Bhima,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Savta Creek, Village. Savta, Taluka. Dahanu, District. Thane.",Savta,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Bhima river at Koregaon near Koregaon bridge, Village. Koregaon,Taluka. Shirur, District. Pune.",Bhima,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ulhas river at U/s of NRC Bund, Village. Mohane, Taluka. Kalyan, District. Thane.",Ulhas,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",Bindusara,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Nira river at U/s of Jubilant Organosis, Village. Nira (Dattaghat),Taluka. Baramati, District. Pune.",Nira,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Mor river  near Padalashe, Village. Padalashe,Taluka. Jalgaon, District. Jalgaon.",Mor,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Kanhan river at D/s of Nagpur, Village. Agargaon, Taluka. Kuhi, District. Nagpur.",Kanhan,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Titur river at  D/S of Chalisgaon, Village. Chalisgaon,Taluka. Jalgaon,District. Jalgaon.",Titur,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Mula - Mutha river at Mundhawa bridge,Village. Mundhawa,Taluka. Haweli,District. Pune.",River,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Chandrabhaga river at U/s of Pandharpur town, Village. Gursale,Taluka. Pandharpur, District. Solapur.",Chandrabhaga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Surya River at U/S of Surya Dam, Village. Dhamni, Taluka. Vikramgad, District. Thane.",Surya,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Bhayander creek at D/s of Railway bridge at  Jasal park choupathy, Village. Navghar, Taluka. Bhayander, District. Thane.",Bhayander,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Ulhas creek at Gaimukh at Nagla Bunder on Ghod bunder road, Village. Nagla,Taluka. Thane,District. Thane.",Ulhas,Creek,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Wainganga river at Ashti, Village. Ashti, Taluka. Gondpipri, District.Chandrapur.",Wainganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Muchkundi river at Waked, Ratnagiri, near M/s Asahi India Glass Ltd., Village. Waked, Taluka. Lanja, District. Ratnagiri.",Muchkundi,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Sarwali Creek, Village. Sarwali, Taluka. Palghar, District. Thane.",Sarwali,Creek,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Sarwali Creek, Village. Sarwali, Taluka. Palghar, District. Thane.",Sarwali,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Madvi sea water at Ratnagiri near Jodhale Maruti Temple,  Village. Madvigaon, Taluka. Ratnagiri, District. Ratnagiri.",Madvi,Sea,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Sea water at Worli seaface, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Navapur sea, Village. Navapur, Taluka. Palghar, District. Thane.",Navapur,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Purna river near Achalpur. Amravati road bridge, Asegaon, Village. Asegaon,Taluka. Chandur Bazar, District. Amravati.",Purna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Bhima river. Backwater of Ujani Dam, near raw water pump house, Village. Kumbargaon, Taluka. Indapur, District. Pune.",Bhima,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Wardha river at Pulgaon Railway Bridge, Village. Pulgaon,Taluka . Wardha, District. Wardha.",Wardha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Mutha river at Sangam bridge near Ganapathyghat, Village . Shivaji Nagar,  Taluka. Pune, District. Pune.",Mutha,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Savitri river at Ovale village, Village. Ovale, Taluka. Mahad, District. Raigad.",Savitri,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Arnala sea, Village. Arnala, Taluka. Vasai, District. Thane.",Arnala,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Gomai river D/s. of Shahada, Village. Shahada,Taluka. Dhule,District. Dhule.",Gomai,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Thane creek at Elephanta Island, Village. Elephanta Island , Taluka. Mumbai, District. Mumbai.",Thane,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Chikhali nallah meets Godavari river, Village. Chikhali, Taluka. Nashik, District. Nashik.",Chikhali Nallah Meets Godavari,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Ulhas creek at Kolshet Reti bunder, Village. Kolshet, Taluka. Thane, District. Thane.",Ulhas,Creek,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Savitri river at Muthavali village,  Village. Muthavali, Taluka. Mahad, District. Raigad.",Savitri,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Godavari river at Kapila. Godavari confluence point,  Village. Tapovan, Taluka. Nashik, District. Nashik.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Kshetra Mahuli, Village. Kshetra.Mahuli,Taluka. Mahuli, District. Satara.",Krishna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Pilli river  near, vill-mankapur on koradi road, Dist- Nagpur",Pilli,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Chandrabhaga river at D/s of Pandharpur town rear Vishnupant Mandir, Village. Gopalpur,Taluka. Pandharpur,District. Solapur.",Chandrabhaga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Nira river at Sangavi, Village. Sangavi, Taluka. Phaltan, District. Satara.",Nira,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Mutha river at Khadakvasla Dam, Village. Khadakvasla,Taluka. Haweli, District. Pune.",Mutha,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Wainganga river at kardha bridge, D/S of bhandara city, Dist- Bhandara",Wainganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Bhatsa river at D/s of Pise Dam, Village. Pise, Taluka. Bhiwandi, District. Thane.",Bhatsa,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Thane creek at Elephanta Island, Village. Elephanta Island , Taluka. Mumbai, District. Mumbai.",Thane,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Nira river at D/s of Jubilant Organosis,  Village. Nimbut, Taluka. Baramati, District. Pune.",Nira,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Bhatsa River at U/s of Liberty Oil Mills, Satnel, Shahapur, Thane.",Bhatsa,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Kundalika river at Dhatav at Jackwell , Village. Dhatav,Taluka. Roha, District. Raigad.",Kundalika,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Purna river near Achalpur. Amravati road bridge, Asegaon, Village. Asegaon,Taluka. Chandur Bazar, District. Amravati.",Purna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",Vashishti,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Nira river at Sarola bridge, Village. Sarola, Taluka.Bhor, District. Pune.",Nira,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Navapur sea, Village. Navapur, Taluka. Palghar, District. Thane.",Navapur,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Godavari river near Someshwar Temple, Village. Someshwar, Taluka. Nashik, District. Nashik.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Kundalika river , kolad, Dist- Raigad",Kundalika,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
Thane creek Flamingo Sanctuary,Thane,Creek,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
Chandrabhaga river at chandur jahanpur thesil daryapur Dist- Amravati,Chandrabhaga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Chandrabhaga river at D/s of Pandharpur town rear Vishnupant Mandir, Village. Gopalpur,Taluka. Pandharpur,District. Solapur.",Chandrabhaga,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane.",Sandoz,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",Krishna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Wardha river at D/s of Erai river at Hadasti near Arun Engg. Works, Village. Hadasti, Taluka. Chandrapur, District. Chandrapur.",Wardha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Penganga river near water supply scheme of Umarkhed M.C., Village. Belkhed,Taluka. Umarkhed, District. Yavatmal.",Penganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
