alert_id,station_name,river_name,alert_type,severity,risk_score,risk_category,violation_reasons,top_model_drivers,rule_explanation,shap_explanation,historical_context_if_available,recommended_action
5f272213,"Sea water at Worli seaface, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,10.86,Low Risk,DO (4.6 < 5); BOD (12.0 > 3),,Non-compliant because DO is 4.60 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
a8c700b1,"Mahim creek at Mahim Bay, Village. Mahim, Taluka. Mumbai, District. Mumbai.",Mahim,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,12.56,Low Risk,DO (4.6 < 5); BOD (14.0 > 3),,Non-compliant because DO is 4.60 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
ee81667b,"Sea water at Shivaji park ( Dadar choupathy), Village. Dadar, Taluka.Dadar,  District. Mumbai.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,4.26,Low Risk,BOD (8.0 > 3),,Non-compliant because BOD is 8.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
b3551e61,"Sea water at Haji Ali, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
f241eb45,"Sea water at Malabar Hill, Village. Walkeshwar,Taluka. Mumbai,District. Mumbai.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,17.46,Low Risk,DO (4.2 < 5); BOD (16.0 > 3),,Non-compliant because DO is 4.20 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
271c2577,"Thane creek at Elephanta Island, Village. Elephanta Island , Taluka. Mumbai, District. Mumbai.",Thane,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,12.46,Low Risk,DO (4.4 < 5); BOD (12.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
6e7d7b47,"Sea water at Nariman Point, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
fa8ffcb8,"Mithi river near Road bridge, Village. Mahim, Taluka. Bandra, District. Mumbai.",Mithi,Regulatory Violation | ML Non-Compliance | High Risk Score | Persistent Hotspot,Severe,67.39,High Risk,DO (0.3 < 5); BOD (38.0 > 3),,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 38.00 mg/L (above 3). Risk category: High Risk.,,None,Dispatch immediate field monitoring team
ee2691e7,"Sea water at Versova beach, Village. Versova, Taluka. Andheri, District. Mumbai.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,10.96,Low Risk,DO (4.8 < 5); BOD (14.0 > 3),,Non-compliant because DO is 4.80 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
e8ac6020,"Sea water at Juhu beach,  Village. Juhugaon, Taluka. Santacruz,  District. Mumbai.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
9d197658,"Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane.",Rabodi,Regulatory Violation | ML Non-Compliance | High Risk Score | Persistent Hotspot,Severe,72.49,High Risk,DO (0.3 < 5); BOD (44.0 > 3),,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 44.00 mg/L (above 3). Risk category: High Risk.,,None,Dispatch immediate field monitoring team
587a59e5,"Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane.",Colour Chem,Regulatory Violation | ML Non-Compliance | High Risk Score | Persistent Hotspot,Severe,54.98,High Risk,DO (1.0 < 5); BOD (30.0 > 3),,Non-compliant because DO is 1.00 mg/L (below 5); BOD is 30.00 mg/L (above 3). Risk category: High Risk.,,None,Dispatch immediate field monitoring team
7fe3b94f,"Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane.",Sandoz,Regulatory Violation | ML Non-Compliance | High Risk Score | Persistent Hotspot,Severe,60.03,High Risk,DO (0.9 < 5); BOD (35.0 > 3),,Non-compliant because DO is 0.90 mg/L (below 5); BOD is 35.00 mg/L (above 3). Risk category: High Risk.,,None,Dispatch immediate field monitoring team
6e417a7c,"Ulhas creek at Mumbra Reti bunder, Village. Mumbra,Taluka. Thane, District. Thane.",Ulhas,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,1.36,Low Risk,BOD (4.6 > 3),,Non-compliant because BOD is 4.60 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
fa2a486c,"Thane creek at Kalwa road bridge, Village. Kalwa,Taluka. Thane,District. Thane.",Thane,Regulatory Violation | ML Non-Compliance | Persistent Hotspot | Increasing Risk,Severe,4.6,Low Risk,BOD (8.4 > 3),,Non-compliant because BOD is 8.40 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
44b529ce,"Ulhas creek at Kolshet Reti bunder, Village. Kolshet, Taluka. Thane, District. Thane.",Ulhas,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,1.19,Low Risk,BOD (4.4 > 3),,Non-compliant because BOD is 4.40 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
1e5edf37,"Ulhas creek at Gaimukh at Nagla Bunder on Ghod bunder road, Village. Nagla,Taluka. Thane,District. Thane.",Ulhas,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,3.74,Low Risk,BOD (7.4 > 3),,Non-compliant because BOD is 7.40 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
99954e7a,"Bassein creek at VasaiFort , Village. Bassein, Taluka. Vasai, District. Thane.",Bassein,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
804c9357,"Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane.",Ulhas,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,4.26,Low Risk,BOD (8.0 > 3),,Non-compliant because BOD is 8.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
f60b27a0,"Bhayander creek at D/s of Railway bridge at  Jasal park choupathy, Village. Navghar, Taluka. Bhayander, District. Thane.",Bhayander,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,12.56,Low Risk,DO (4.6 < 5); BOD (14.0 > 3),,Non-compliant because DO is 4.60 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
5c10a14f,"Arnala sea, Village. Arnala, Taluka. Vasai, District. Thane.",Arnala,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,9.26,Low Risk,DO (4.8 < 5); BOD (12.0 > 3),,Non-compliant because DO is 4.80 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
a86025e8,"Uttan sea at Bhayander, Village. Uttan, Taluka. Bhayander, District. Thane.",Uttan,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
8dad0d77,"Kharekuran Murbe creek , Village. Kharekuran, Taluka. Palghar, District. Thane.",Kharekuran Murbe,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,21.57,Low Risk,DO (3.9 < 5); BOD (18.0 > 3),,Non-compliant because DO is 3.90 mg/L (below 5); BOD is 18.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
800b728f,"Dandi Creek, Village. Dandi, Taluka. Palghar, District. Thane.",Dandi,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,19.06,Low Risk,DO (4.0 < 5); BOD (16.0 > 3),,Non-compliant because DO is 4.00 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
7b900ff2,"Navapur sea, Village. Navapur, Taluka. Palghar, District. Thane.",Navapur,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
eb24f63e,"BPT, Navapur, Village. Navapur, Taluka. Palghar, District. Thane.",BPT/Navapur,Regulatory Violation | ML Non-Compliance | Severe Risk Score | Persistent Hotspot,Severe,77.6,Severe Risk,DO (0.3 < 5); BOD (54.0 > 3),,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 54.00 mg/L (above 3). Risk category: Severe Risk.,,None,Dispatch immediate field monitoring team
d5e1d7e0,"Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Regulatory Violation | ML Non-Compliance | Severe Risk Score | Persistent Hotspot,Severe,77.6,Severe Risk,DO (0.3 < 5); BOD (58.0 > 3),,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 58.00 mg/L (above 3). Risk category: Severe Risk.,,None,Dispatch immediate field monitoring team
59355c32,"Tarapur MIDC Nalla ( Near Sump 2), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Regulatory Violation | ML Non-Compliance | Severe Risk Score | Persistent Hotspot,Severe,77.6,Severe Risk,DO (0.3 < 5); BOD (110.0 > 3),,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 110.00 mg/L (above 3). Risk category: Severe Risk.,,None,Dispatch immediate field monitoring team
ab779ed4,"Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,Regulatory Violation | ML Non-Compliance | Severe Risk Score | Persistent Hotspot,Severe,77.6,Severe Risk,DO (0.3 < 5); BOD (210.0 > 3),,Non-compliant because DO is 0.30 mg/L (below 5); BOD is 210.00 mg/L (above 3). Risk category: Severe Risk.,,None,Dispatch immediate field monitoring team
e2c27bf4,"Surya river at MIDC pumping station on Boisar . Chillarphata road, Village. Garvashet, Taluka. Palghar, District. Thane",Surya,Regulatory Violation | ML Non-Compliance,High,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
05a25f32,"Savta Creek, Village. Savta, Taluka. Dahanu, District. Thane.",Savta,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,16.09,Low Risk,DO (4.0 < 5); BOD (12.5 > 3),,Non-compliant because DO is 4.00 mg/L (below 5); BOD is 12.50 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
06e71d3e,"Dahanu Creek at Dahanu Fort, Village. Danugaon, Taluka. Dahanu, District. Thane.",Dahanu,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,15.76,Low Risk,DO (4.2 < 5); BOD (14.0 > 3),,Non-compliant because DO is 4.20 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
2d823e71,"Kalu river at Atale village, Village. Atale, Taluka. Kalyan, District. Thane.",Kalu,Regulatory Violation | ML Non-Compliance,High,0.68,Low Risk,BOD (3.8 > 3),,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
266535b1,"Ulhas creek at Reti bunder at D/s of Kalyan. Bhiwandi bridge, Village. Kalyan, Taluka. Kalyan, District. Thane.",Ulhas,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.68,Low Risk,BOD (3.8 > 3),,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
1abaa204,"Ulhas river at U/s of NRC Bund, Village. Mohane, Taluka. Kalyan, District. Thane.",Ulhas,Regulatory Violation | ML Non-Compliance,High,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
6155b69b,"Ulhas river at U/s of Badlapur water works, Village. Kulgaon, Taluka. Ambernath, District. Thane.",Ulhas,Regulatory Violation | ML Non-Compliance,High,0.34,Low Risk,BOD (3.4 > 3),,Non-compliant because BOD is 3.40 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
d1636cca,"Bhatsa River at D/s of Liberty Oil Mills, Satnel, Shahapur, Thane.",Bhatsa,Regulatory Violation | ML Non-Compliance,High,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
77684659,"Tansa river near road bridge, Village. Dakewali, Taluka. Wada, District. Thane.",Tansa,Regulatory Violation | ML Non-Compliance,High,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
3443f79c,Vashi Creek at Vashi Bridge,Vashi,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,12.46,Low Risk,DO (4.4 < 5); BOD (12.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
dda74a01,Vashi Creek at Airoli Bridge,Vashi,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,13.36,Low Risk,DO (4.5 < 5); BOD (14.0 > 3),,Non-compliant because DO is 4.50 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
53a6239a,Thane creek Flamingo Sanctuary,Thane,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,12.46,Low Risk,DO (4.4 < 5); BOD (12.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
1850f424,"Patalganga river at Shilphata bridge, Village.Khopoli,Taluka. Khalapur, District. Raigad.",Patalganga,Regulatory Violation | ML Non-Compliance,High,0.68,Low Risk,BOD (3.8 > 3),,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
19198e94,"Patalganga river near intake of MIDC water works  (Turade w/w). Village. Turade, Taluka. Khalapur, District. Raigad.",Patalganga,Regulatory Violation | ML Non-Compliance,High,0.34,Low Risk,BOD (3.4 > 3),,Non-compliant because BOD is 3.40 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
20c63d82,"Patalganga river at D/s of Kharpada bridge , Village. Kharpada, Taluka. Khalapur, District. Raigad.",Patalganga,Regulatory Violation | ML Non-Compliance,High,0.85,Low Risk,BOD (4.0 > 3),,Non-compliant because BOD is 4.00 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
7e3600ef,"Patalganga river at Vyal Pump house,  Village. Vyal,  Taluka. Khalapur, District. Raigad.",Patalganga,Regulatory Violation | ML Non-Compliance,High,0.85,Low Risk,BOD (4.0 > 3),,Non-compliant because BOD is 4.00 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
c6b2b9cb,"Patalganga river at Savroli bridge, Village. Savroli,Taluka. Khalapur,District. Raigad.",Patalganga,Regulatory Violation | ML Non-Compliance,High,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
a779ddb2,"Patalganga river at Gagangiri Maharaj Temple, Village. Khopoli, Taluka. Khalapur, District. Raigad.",Patalganga,Regulatory Violation | ML Non-Compliance,High,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
2d1b23a2,"Panvel creek at Kopra bridge, Village. Kopra,Taluka. Panvel, District. Raigad.",Panvel,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.34,Low Risk,BOD (3.4 > 3),,Non-compliant because BOD is 3.40 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
eabf9694,"Kundalika river near Salav bridge (Saline zone), Village.Salav, Taluka. Roha, District. Raigad.",Kundalika,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.68,Low Risk,BOD (3.8 > 3),,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
fd0b9e2a,"Pedhi river near road bridge at Dadhi. Pedhi village, Village. Dadhi. Pedhi, Taluka. Bhatkuli, District. Amravati.",Pedhi,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,7.13,Low Risk,DO (4.3 < 5); BOD (4.8 > 3),,Non-compliant because DO is 4.30 mg/L (below 5); BOD is 4.80 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
10922a41,"Purna river near Achalpur. Amravati road bridge, Asegaon, Village. Asegaon,Taluka. Chandur Bazar, District. Amravati.",Purna,Regulatory Violation | ML Non-Compliance,High,0.51,Low Risk,BOD (3.6 > 3),,Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
7ab5bb42,Chandrabhaga river at chandur jahanpur thesil daryapur Dist- Amravati,Chandrabhaga,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,1.02,Low Risk,BOD (4.2 > 3),,Non-compliant because BOD is 4.20 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
89decda2,"Purna river at Kolhapur Tal- Daryapur, Dist- Amravati",Purna,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.68,Low Risk,BOD (3.8 > 3),,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
0768e3c3,"Penganga river at washim- risod road bridge, village asegaonpen, Tal-risod, dist- washim",Penganga,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.94,Low Risk,BOD (4.1 > 3),,Non-compliant because BOD is 4.10 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
645d102c,"Purna River at Dhupeshwar at u/s of Malkapur water works, Malkapur, Dist.Akola",Purna,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,1.56,Low Risk,BOD (4.4 > 3); pH (8.6 not in 6.5-8.5),,Non-compliant because BOD is 4.40 mg/L (above 3); pH is 8.60 (outside 6.5-8.5). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
15fa595c,"Purna river at D/s of confluence of Morna and Purna, at Andura Village, Village. Andura, Taluka. Balapur, District. Akola.",Purna,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,1.45,Low Risk,BOD (4.7 > 3),,Non-compliant because BOD is 4.70 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
0915af27,Morna River D/s of Railway Bridge Akola ,Morna,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,9.99,Low Risk,DO (4.4 < 5); BOD (9.1 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 9.10 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
a7b1681e,Penganga River at Mehkar .Buldana Bridge.Akola,Penganga,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.85,Low Risk,BOD (4.0 > 3),,Non-compliant because BOD is 4.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
8d2429ef,"Lonar surovar lake, near kamalja devi temple. Tal- lonar Dist- Buldhana",Lonar Surovar,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,28.19,Moderate Risk,BOD (31.0 > 3); pH (9.7 not in 6.5-8.5),,Non-compliant because BOD is 31.00 mg/L (above 3); pH is 9.70 (outside 6.5-8.5). Risk category: Moderate Risk.,,None,Dispatch immediate field monitoring team
234be212,"Kolar river before confluence with Kanhan river at Waregaon Bridge, Village. Waregaon, Taluka.Kamptee, District.Nagpur.",Kolar,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,1.53,Low Risk,BOD (4.8 > 3),,Non-compliant because BOD is 4.80 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
